FromAccount      ToAccount       TranType    Amount
11012375         11012375        1           -13.00
12013500         12013500        3            460.00
11012375         11012375        2           -123.00
12013500         11012375        1            60.00
11012375         11012375        2           -12.00
12013500         11012375        4            49.00
11012375         11012375        2           -100.00
11012375         11012375        3            100.00
11012375         11012375        2           -100.00
11012375         11012375        2           -10.00
11012375         11012375        2           -123.00
11012375         11012375        2           -100.00
11012375         11012375        3            1000.00
